_url,name,birth_year,weight,height,nationality
bruno-surra,Bruno  Surra,1964,73.0,185,Italy
gerard-rue,Gérard  Rué,1965,74.0,182,France
jan-maas,Jan  Maas,1996,69.0,189,Netherlands
nathan-van-hooydonck,Nathan Van Hooydonck,1995,78.0,192,Belgium
jose-felix-parra,José Félix  Parra,1997,55.0,171,Spain
manuel-penalver,Manuel  Peñalver,1998,67.0,177,Spain
willy-moonen,Willy  Moonen,1947,80.0,190,Belgium
chad-haga,Chad  Haga,1988,71.5,191,United States
joost-van-leijen,Joost van Leijen,1984,73.0,192,Netherlands
scott-davies,Scott  Davies,1995,82.0,188,Great Britain
stian-remme,Stian  Remme,1982,68.0,177,Norway
jose-angel-gomez-marchante,José Ángel  Gómez Marchante,1980,60.0,175,Spain
giuseppe-guerini,Giuseppe  Guerini,1970,65.0,178,Italy
evgueny-anachkine,Evgueny  Anachkine,1970,69.0,182,Russia
maurizio-biondo,Maurizio  Biondo,1981,71.0,180,Italy
rony-martias,Rony  Martias,1980,71.0,181,France
eloy-teruel,Eloy  Teruel,1982,73.0,181,Spain
julien-el-fares,Julien El Fares,1985,62.0,172,France
patrice-thevenard,Patrice  Thévenard,1954,66.0,178,France
michal-paluta,Michał  Paluta,1995,65.0,174,Poland
luc-suykerbuyk,Luc  Suykerbuyk,1964,66.0,180,Netherlands
fabien-grellier,Fabien  Grellier,1994,65.0,180,France
bernard-bourreau,Bernard  Bourreau,1951,63.0,164,France
volker-ordowski,Volker  Ordowski,1973,59.0,170,Germany
roy-schuiten,Roy  Schuiten,1950,83.0,184,Netherlands
graeme-brown,Graeme Allen  Brown,1979,76.0,180,Australia
alain-gallopin,Alain  Gallopin,1957,77.0,189,France
phillip-gaimon,Phillip  Gaimon,1986,67.0,185,United States
andrea-fedi,Andrea  Fedi,1991,70.0,184,Italy
urs-graf,Urs  Graf,1974,65.0,172,Switzerland
jean-claude-theilliere,Jean-Claude  Theillière,1944,68.0,178,France
paul-kimmage,Paul  Kimmage,1962,65.0,178,Ireland
piotr-przydzial,Piotr  Przydział,1974,80.0,186,Poland
alessandro-vanotti,Alessandro  Vanotti,1980,70.0,185,Italy
anthony-perez,Anthony  Perez,1991,70.0,190,France
morten-hulgaard,Morten  Hulgaard,1998,73.0,181,Denmark
andreas-dietziker,Andreas  Dietziker,1982,67.0,179,Switzerland
alejandro-paleo,Alejandro  Paleo,1981,62.0,180,Spain
thomas-gloag,Thomas  Gloag,2001,60.0,181,Great Britain
samuel-blanco,Samuel  Blanco,1994,73.0,185,Spain
sean-sullivan,Sean  Sullivan,1978,70.0,180,Australia
gaetano-baronchelli,Gaetano  Baronchelli,1952,74.0,186,Italy
mario-scirea,Mario  Scirea,1964,80.0,193,Italy
hector-palacio,Hector  Palacio,1969,63.0,167,Colombia
julien-mazet,Julien  Mazet,1981,73.0,180,France
roberto-giucolsi,Roberto  Giucolsi,1968,52.0,168,Italy
leonardo-guidi,Leonardo  Guidi,1974,84.0,194,Italy
aitor-alonso,Aitor  Alonso,1980,82.0,175,Spain
noel-vanclooster,Noël  Vanclooster,1943,60.0,177,Belgium
jesus-rodriguez-rodriguez,Jesús  Rodríguez,1960,63.0,172,Spain
johann-van-zyl,Johann van Zyl,1991,72.0,190,South Africa
walter-beneteau,Walter  Bénéteau,1972,67.0,175,France
noan-lelarge,Noan  Lelarge,1975,70.0,176,France
eric-van-lancker,Eric Van Lancker,1961,74.0,180,Belgium
dylan-sunderland,Dylan  Sunderland,1996,67.0,180,Australia
corrado-serina,Corrado  Serina,1975,73.0,180,Italy
luca-maggioni,Luca  Maggioni,1973,71.0,183,Italy
eduardo-sepulveda,Eduardo  Sepúlveda,1991,59.0,173,Argentina
cedric-beullens,Cedric  Beullens,1997,79.0,190,Belgium
christian-muselet,Christian  Muselet,1952,68.0,177,France
egor-silin,Egor  Silin,1988,61.0,177,Russia
stephane-berges,Stéphane  Bergès,1975,68.0,181,France
bruce-biddle,Bruce  Biddle,1949,64.0,173,New Zealand
marc-siemons,Marc  Siemons,1966,77.0,183,Netherlands
theo-smit,Theo  Smit,1951,71.0,178,Netherlands
andrew-fenn,Andrew  Fenn,1990,79.0,186,Great Britain
jeffry-romero,Jeffry  Romero,1989,55.0,176,Colombia
luigi-sestili,Luigi  Sestili,1983,65.0,182,Italy
iban-herrero-atienzar,Ivan  Herrero,1974,61.0,172,Spain
remigius-lupeikis,Remigius  Lupeikis,1964,80.0,182,Lithuania
jules-bruessing,Jules  Bruessing,1949,62.0,167,Netherlands
theo-eltink,Theo  Eltink,1981,63.0,178,Netherlands
willy-vigouroux,Willy  Vigouroux,1956,64.0,181,Belgium
jens-wallays,Jens  Wallays,1992,64.0,176,Belgium
mads-pedersen,Mads  Pedersen,1995,70.0,180,Denmark
jose-herrada,José  Herrada,1985,65.0,175,Spain
idar-andersen,Idar  Andersen,1999,66.0,182,Norway
sylvain-moniquet,Sylvain  Moniquet,1998,61.0,175,Belgium
pedro-miguel-lopes,Pedro Miguel  Lopes,1999,68.0,180,Portugal
adriano-baffi,Adriano  Baffi,1962,70.0,176,Italy
thibau-nys,Thibau  Nys,2002,64.0,176,Belgium
gert-steegmans,Gert  Steegmans,1980,82.0,190,Belgium
marco-haller,Marco  Haller,1991,72.0,178,Austria
matthew-holmes,Matthew  Holmes,1993,67.0,178,Great Britain
moreno-hofland,Moreno  Hofland,1991,71.0,179,Netherlands
venancio-teran,Venancio  Teran,1961,63.0,180,France
jos-van-emden,Jos van Emden,1985,78.0,186,Netherlands
michael-matthews,Michael  Matthews,1990,72.0,178,Australia
juan-ayuso-pesquera,Juan  Ayuso,2002,65.0,183,Spain
jorge-azanza,Jorge  Azanza,1982,68.0,185,Spain
valentin-dorronsoro,Valentin  Dorronsoro,1959,67.0,181,Spain
eddy-verstraeten,Eddy  Verstraeten,1948,70.0,180,Belgium
peter-mazur,Peter  Mazur,1982,73.0,177,Poland
paulo-jose-dos-santos-ferreira,Paulo José dos Santos  Ferreira,1962,58.0,169,Portugal
wim-omloop,Wim  Omloop,1971,69.0,180,Belgium
sascha-henrix,Sascha  Henrix,1973,56.0,169,Germany
manuele-tarozzi,Manuele  Tarozzi,1998,69.0,178,Italy
einer-rubio,Einer  Rubio,1998,56.0,164,Colombia
roy-knickman,Roy  Knickman,1965,65.0,167,United States
alberto-minetti,Alberto  Minetti,1957,69.0,181,Italy
luigi-della-bianca,Luigi Della Bianca,1972,74.0,185,Italy
jannes-slendebroek,Jannes  Slendebroek,1959,70.0,185,Netherlands
primoz-cerin,Primož  Čerin,1962,61.0,178,Yugoslavia
santiago-perez,Santiago  Pérez,1977,61.0,179,Spain
francisco-leon,Francisco  León,1973,70.0,178,Spain
rein-taaramae,Rein  Taaramäe,1987,68.0,186,Estonia
anselmo-fuerte-abelenda,Anselmo  Fuerte,1962,73.0,188,Spain
sebastien-chavanel,Sébastien  Chavanel,1981,77.0,183,France
andrei-nechita,Andrei  Nechita,1988,71.0,183,Romania
tadej-pogacar,Tadej  Pogačar,1998,66.0,176,Slovenia
jay-sweet,Jay  Sweet,1975,69.0,175,Australia
nic-hamilton,Nic  Hamilton,1986,72.0,183,Canada
enrico-barbin,Enrico  Barbin,1990,60.0,166,Italy
alain-van-den-bossche,Alain Van Den Bossche,1965,64.0,181,Belgium
mario-de-sarraga,Mario de Sárraga,1980,69.0,182,Spain
